,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
297,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\9159_CROPED_1.jpg,"[(69, 296), (369, 301)]","[(254, 281), (264, 253), (276, 231), (294, 202), (315, 177), (326, 167)]",Closed,,1605458175,9159_CROPED_1.jpg,200728_contin_R
298,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\9159_CROPED_2.jpg,"[(47, 292), (328, 287)]","[(240, 285), (256, 255), (286, 222), (313, 193), (334, 174)]",Open,,1605458257,9159_CROPED_2.jpg,200728_contin_R
299,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\9159_CROPED_3.jpg,"[(66, 408), (374, 404)]","[(261, 394), (282, 367), (311, 338), (347, 306), (381, 281), (404, 263)]",Closed,,1605458281,9159_CROPED_3.jpg,200728_contin_R
300,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\9159_CROPED_4.jpg,"[(43, 391), (395, 382)]","[(205, 362), (218, 314), (239, 271), (267, 223), (300, 190), (320, 161)]",Open,,1605458296,9159_CROPED_4.jpg,200728_contin_R
301,C:\Sunflowers\manual_tagging-master\first_last_imgs\200728_contin_R\9159_CROPED_5.jpg,"[(6, 337), (342, 345)]","[(149, 324), (154, 283), (168, 240), (185, 197), (212, 154), (224, 136)]",Open,,1605458313,9159_CROPED_5.jpg,200728_contin_R
302,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0001_CROPED_1.jpg,"[(30, 280), (389, 272)]","[(210, 258), (191, 230), (167, 203), (135, 173), (113, 154)]",Closed,,1605458332,0001_CROPED_1.jpg,200729_contin_L
303,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0001_CROPED_1.jpg,"[(33, 279), (390, 277)]","[(208, 257), (178, 222), (156, 195), (127, 164)]",,,1605458469,0001_CROPED_1.jpg,200729_contin_L
304,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0001_CROPED_2.jpg,"[(72, 269), (441, 252)]","[(154, 250), (134, 222), (107, 187)]",Closed,,1605458480,0001_CROPED_2.jpg,200729_contin_L
305,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0001_CROPED_3.jpg,"[(68, 276), (385, 259)]","[(136, 255), (120, 222), (101, 194), (91, 169)]",Open,,1605458497,0001_CROPED_3.jpg,200729_contin_L
306,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0001_CROPED_4.jpg,"[(32, 299), (318, 296)]","[(184, 287), (178, 270), (165, 248), (145, 222), (132, 205)]",Open,,1605458522,0001_CROPED_4.jpg,200729_contin_L
307,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0999_CROPED_1.jpg,"[(32, 282), (391, 278)]","[(208, 258), (182, 222), (157, 188), (130, 162)]",Closed,,1605458534,0999_CROPED_1.jpg,200729_contin_L
308,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0999_CROPED_2.jpg,"[(71, 267), (444, 252)]","[(152, 248), (139, 221), (115, 197), (110, 185)]",,not sure about leaves,1605458559,0999_CROPED_2.jpg,200729_contin_L
309,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0999_CROPED_3.jpg,"[(69, 277), (385, 257)]","[(138, 255), (123, 223), (104, 184), (93, 167)]",Open,,1605458576,0999_CROPED_3.jpg,200729_contin_L
310,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_L\0999_CROPED_4.jpg,"[(33, 301), (320, 297)]","[(185, 288), (171, 256), (146, 228), (131, 208)]",Open,,1605458588,0999_CROPED_4.jpg,200729_contin_L
311,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9175_CROPED_1.jpg,"[(54, 368), (347, 369)]","[(160, 348), (155, 319), (149, 289), (143, 264)]",Open,,1605458601,9175_CROPED_1.jpg,200729_contin_R
312,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9175_CROPED_2.jpg,"[(22, 282), (301, 286)]","[(135, 261), (140, 239), (148, 222)]",,not sure about leaves,1605458619,9175_CROPED_2.jpg,200729_contin_R
313,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9175_CROPED_3.jpg,"[(56, 361), (363, 356)]","[(215, 339), (214, 309), (213, 275), (214, 251)]",Open,,1605458640,9175_CROPED_3.jpg,200729_contin_R
314,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9175_CROPED_4.jpg,"[(65, 412), (415, 411)]","[(209, 402), (210, 368), (217, 320), (218, 303)]",Open,,1605458658,9175_CROPED_4.jpg,200729_contin_R
315,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9175_CROPED_5.jpg,"[(35, 362), (369, 352)]","[(155, 353), (156, 331), (154, 312)]",Open,,1605458668,9175_CROPED_5.jpg,200729_contin_R
316,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9514_CROPED_1.jpg,"[(53, 370), (347, 367)]","[(207, 351), (223, 320), (249, 279), (275, 251), (311, 216)]",Open,,1605458684,9514_CROPED_1.jpg,200729_contin_R
317,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9514_CROPED_2.jpg,"[(23, 279), (303, 285)]","[(162, 262), (172, 244), (185, 224), (216, 198)]",Closed,,1605459433,9514_CROPED_2.jpg,200729_contin_R
318,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9514_CROPED_3.jpg,"[(57, 365), (363, 355)]","[(240, 336), (256, 301), (277, 277), (301, 244)]",Open,,1605459456,9514_CROPED_3.jpg,200729_contin_R
319,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9514_CROPED_4.jpg,"[(75, 412), (427, 409)]","[(239, 399), (245, 361), (260, 324), (279, 290), (290, 263)]",Open,,1605459471,9514_CROPED_4.jpg,200729_contin_R
320,C:\Sunflowers\manual_tagging-master\first_last_imgs\200729_contin_R\9514_CROPED_5.jpg,"[(33, 362), (368, 353)]","[(175, 344), (177, 320), (183, 292), (185, 275)]",Open,,1605459482,9514_CROPED_5.jpg,200729_contin_R
321,C:\Sunflowers\manual_tagging-master\first_last_imgs\200730_contin_R\9530_CROPED_1.jpg,"[(143, 415), (443, 415)]","[(370, 400), (381, 380), (379, 354), (362, 327)]",Open,,1605459494,9530_CROPED_1.jpg,200730_contin_R
322,C:\Sunflowers\manual_tagging-master\first_last_imgs\200730_contin_R\9530_CROPED_2.jpg,"[(47, 284), (329, 289)]","[(201, 263), (201, 238), (202, 217), (201, 195)]",Open,,1605459504,9530_CROPED_2.jpg,200730_contin_R
323,C:\Sunflowers\manual_tagging-master\first_last_imgs\200730_contin_R\9530_CROPED_3.jpg,"[(61, 381), (366, 378)]","[(198, 356), (200, 304), (205, 259), (211, 214)]",Closed,,1605459518,9530_CROPED_3.jpg,200730_contin_R
324,C:\Sunflowers\manual_tagging-master\first_last_imgs\200730_contin_R\9919_CROPED_1.jpg,"[(144, 412), (447, 414)]","[(416, 396), (428, 362), (441, 327), (453, 298)]",Open,,1605459607,9919_CROPED_1.jpg,200730_contin_R
325,C:\Sunflowers\manual_tagging-master\first_last_imgs\200730_contin_R\9919_CROPED_2.jpg,"[(47, 277), (327, 289)]","[(198, 262), (209, 230), (224, 203), (236, 177)]",Open,,1605459621,9919_CROPED_2.jpg,200730_contin_R
326,C:\Sunflowers\manual_tagging-master\first_last_imgs\200730_contin_R\9919_CROPED_3.jpg,"[(62, 375), (367, 375)]","[(229, 354), (255, 318), (286, 281), (324, 245), (366, 210), (400, 186), (426, 168)]",,cant see leaves,1605459656,9919_CROPED_3.jpg,200730_contin_R
327,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0017_CROPED_1.jpg,"[(49, 241), (410, 236)]","[(192, 231), (193, 207), (193, 184), (199, 157)]",Open,,1605459685,0017_CROPED_1.jpg,200803_contin_L
328,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0017_CROPED_2.jpg,"[(197, 414), (569, 408)]","[(363, 394), (354, 339), (339, 276), (326, 210)]",Closed,,1605459701,0017_CROPED_2.jpg,200803_contin_L
329,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0017_CROPED_3.jpg,"[(63, 441), (379, 433)]","[(252, 437), (250, 400), (252, 357), (251, 303)]",Open,,1605459719,0017_CROPED_3.jpg,200803_contin_L
330,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0017_CROPED_4.jpg,"[(97, 335), (380, 331)]","[(218, 312), (215, 266), (214, 227)]",Closed,,1605459731,0017_CROPED_4.jpg,200803_contin_L
331,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0017_CROPED_5.jpg,"[(39, 324), (344, 324)]","[(205, 313), (203, 289), (202, 265), (202, 240)]",Closed,,1605459747,0017_CROPED_5.jpg,200803_contin_L
332,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0328_CROPED_1.jpg,"[(49, 244), (410, 235)]","[(164, 234), (151, 202), (134, 176), (122, 154)]",Open,,1605459763,0328_CROPED_1.jpg,200803_contin_L
333,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0328_CROPED_2.jpg,"[(196, 408), (571, 402)]","[(340, 391), (309, 337), (274, 296), (225, 251), (183, 218), (105, 171)]",Closed,,1605459777,0328_CROPED_2.jpg,200803_contin_L
334,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0328_CROPED_3.jpg,"[(62, 442), (379, 434)]","[(230, 435), (216, 392), (199, 356), (180, 314), (156, 265), (129, 214)]",Open,,1605459853,0328_CROPED_3.jpg,200803_contin_L
335,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0328_CROPED_4.jpg,"[(97, 333), (381, 329)]","[(180, 311), (165, 280), (136, 239), (113, 215), (86, 191), (56, 164)]",Closed,,1605459875,0328_CROPED_4.jpg,200803_contin_L
336,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_L\0328_CROPED_5.jpg,"[(41, 323), (343, 319)]","[(186, 313), (172, 275), (158, 253), (131, 223), (116, 205), (93, 183)]",Closed,,1605459898,0328_CROPED_5.jpg,200803_contin_L
337,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6565_CROPED_1.jpg,"[(74, 331), (372, 330)]","[(196, 325), (192, 290), (185, 256), (183, 220), (178, 201)]",Closed,,1605459918,6565_CROPED_1.jpg,200803_contin_R
338,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6565_CROPED_2.jpg,"[(42, 349), (324, 356)]","[(203, 343), (206, 310), (214, 272)]",Closed,,1605459991,6565_CROPED_2.jpg,200803_contin_R
339,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6565_CROPED_3.jpg,"[(63, 467), (373, 465)]","[(224, 452), (225, 397), (228, 341), (228, 266)]",Open,,1605460014,6565_CROPED_3.jpg,200803_contin_R
340,C:\Sunflowers\manual_tagging-master\first_last_imgs\200803_contin_R\6565_CROPED_4.jpg,"[(37, 384), (387, 379)]","[(165, 372), (169, 334), (168, 288), (169, 266)]",Open,,1605460029,6565_CROPED_4.jpg,200803_contin_R
