,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
413,C:\Sunflowers\manual_tagging-master\first_last_imgs\201101_contin_low_R\9148_CROPED_5.jpg,"[(276, 698), (623, 682)]","[(426, 664), (420, 598), (422, 529), (428, 483), (437, 437), (448, 407), (456, 364)]",Closed,,1609954235,9148_CROPED_5.jpg,201101_contin_low_R
414,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0016_CROPED_1.jpg,"[(142, 521), (496, 517)]","[(391, 493), (405, 424), (415, 369), (428, 318), (440, 281), (445, 237), (445, 217)]",Open,,1609954245,0016_CROPED_1.jpg,201102_contin_low_L
415,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0016_CROPED_2.jpg,"[(459, 706), (825, 689)]","[(640, 669), (638, 609), (623, 563), (615, 510), (615, 487)]",Open,,1609954254,0016_CROPED_2.jpg,201102_contin_low_L
416,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0016_CROPED_3.jpg,"[(310, 626), (624, 617)]","[(312, 629), (489, 597), (479, 537), (470, 488), (471, 437)]",Open,,1609954279,0016_CROPED_3.jpg,201102_contin_low_L
417,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0016_CROPED_4.jpg,"[(318, 731), (612, 731)]","[(440, 701), (421, 613), (397, 548)]",Closed,,1609954288,0016_CROPED_4.jpg,201102_contin_low_L
418,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0016_CROPED_5.jpg,"[(294, 601), (600, 586)]","[(466, 563), (474, 524), (469, 487)]",Closed,,1609954296,0016_CROPED_5.jpg,201102_contin_low_L
419,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0384_CROPED_1.jpg,"[(139, 527), (498, 531)]","[(381, 496), (359, 400), (341, 313), (317, 208), (296, 127), (287, 100)]",Open,,1609954305,0384_CROPED_1.jpg,201102_contin_low_L
420,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0384_CROPED_2.jpg,"[(455, 702), (831, 686)]","[(623, 670), (596, 602), (560, 521), (526, 471), (505, 441), (476, 391), (426, 345)]",Open,,1609954319,0384_CROPED_2.jpg,201102_contin_low_L
421,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0384_CROPED_3.jpg,"[(310, 625), (624, 612)]","[(490, 602), (481, 547), (471, 493), (462, 447), (455, 426), (452, 404), (432, 377)]",Open,,1609954330,0384_CROPED_3.jpg,201102_contin_low_L
422,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0384_CROPED_4.jpg,"[(321, 721), (608, 721)]","[(429, 700), (410, 642), (394, 585), (377, 560), (359, 539), (340, 503)]",Closed,,1609954339,0384_CROPED_4.jpg,201102_contin_low_L
423,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_L\0384_CROPED_5.jpg,"[(293, 594), (600, 575)]","[(429, 568), (425, 515), (414, 468), (408, 438), (394, 408), (379, 377), (365, 357), (351, 344), (336, 328)]",Closed,,1609954348,0384_CROPED_5.jpg,201102_contin_low_L
424,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0016_CROPED_1.jpg,"[(134, 654), (441, 661)]","[(363, 640), (374, 572), (380, 521), (380, 486), (382, 419)]",Open,,1609954358,0016_CROPED_1.jpg,201102_contin_low_R
425,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0016_CROPED_2.jpg,"[(213, 619), (503, 626)]","[(285, 606), (288, 549), (294, 505), (303, 460), (310, 420), (320, 387), (327, 362)]",Open,,1609954373,0016_CROPED_2.jpg,201102_contin_low_R
426,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0016_CROPED_3.jpg,"[(181, 738), (507, 756)]","[(290, 719), (273, 650), (248, 577), (226, 492), (212, 415)]",Open,,1609954423,0016_CROPED_3.jpg,201102_contin_low_R
427,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0016_CROPED_4.jpg,"[(170, 723), (535, 720)]","[(266, 708), (260, 622), (236, 565), (220, 510), (201, 463), (193, 446)]",Open,,1609954436,0016_CROPED_4.jpg,201102_contin_low_R
428,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0016_CROPED_5.jpg,"[(284, 597), (629, 604)]","[(421, 566), (412, 503), (407, 440), (411, 399), (421, 350)]",Closed,,1609954457,0016_CROPED_5.jpg,201102_contin_low_R
429,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0384_CROPED_1.jpg,"[(127, 654), (443, 656)]","[(370, 637), (393, 594), (413, 556), (432, 527), (450, 511), (483, 479), (530, 444), (563, 419), (588, 386)]",Open,,1609954487,0384_CROPED_1.jpg,201102_contin_low_R
430,C:\Sunflowers\manual_tagging-master\first_last_imgs\201102_contin_low_R\0384_CROPED_2.jpg,"[(215, 623), (505, 633)]","[(268, 608), (269, 558), (274, 497), (281, 451), (293, 391), (300, 354), (308, 301), (317, 264)]",Open,,1609954499,0384_CROPED_2.jpg,201102_contin_low_R
